activity,frequency
Declaration SUBMITTED by EMPLOYEE,11531
Declaration FINAL_APPROVED by SUPERVISOR,10131
Payment Handled,10044
Request Payment,10040
Declaration APPROVED by ADMINISTRATION,8202
Declaration APPROVED by BUDGET OWNER,2820
Declaration REJECTED by EMPLOYEE,1365
Declaration REJECTED by ADMINISTRATION,952
Declaration APPROVED by PRE_APPROVER,685
Declaration REJECTED by SUPERVISOR,293
Declaration SAVED by EMPLOYEE,135
Declaration REJECTED by MISSING,91
Declaration REJECTED by PRE_APPROVER,86
Declaration REJECTED by BUDGET OWNER,59
Declaration FOR_APPROVAL by SUPERVISOR,1
Declaration FOR_APPROVAL by PRE_APPROVER,1
Declaration FOR_APPROVAL by ADMINISTRATION,1
