case:concept:name,min,max,duration_days
declaration 100000,2018-01-30 09:20:07+00:00,2018-02-12 17:31:20+00:00,13.341122685185185
declaration 100005,2018-01-30 09:38:54+00:00,2018-02-01 17:31:17+00:00,2.3280439814814815
declaration 100010,2018-01-30 09:43:21+00:00,2018-02-01 17:31:17+00:00,2.3249537037037036
declaration 100015,2018-01-30 13:06:43+00:00,2018-02-05 17:31:02+00:00,6.183553240740741
declaration 100021,2018-01-31 11:05:55+00:00,2018-02-12 17:31:20+00:00,12.267650462962964
declaration 100027,2018-02-01 09:20:56+00:00,2018-02-12 17:31:20+00:00,11.340555555555556
declaration 100032,2018-02-01 11:34:07+00:00,2018-02-08 17:31:10+00:00,7.247951388888889
declaration 100037,2018-02-01 14:16:11+00:00,2018-02-08 17:31:10+00:00,7.135405092592593
declaration 100042,2018-04-20 13:55:22+00:00,2018-05-03 17:31:15+00:00,13.149918981481482
declaration 100048,2018-04-20 14:05:14+00:00,2018-04-26 17:30:51+00:00,6.142789351851852
declaration 100053,2018-04-20 14:13:39+00:00,2018-07-12 17:31:18+00:00,83.13725694444445
declaration 100059,2018-04-20 14:20:22+00:00,2018-04-26 17:30:51+00:00,6.132280092592593
declaration 100064,2018-04-20 14:21:30+00:00,2018-04-26 17:30:51+00:00,6.131493055555556
declaration 100069,2018-04-20 14:22:01+00:00,2018-04-26 17:30:51+00:00,6.13113425925926
declaration 100074,2018-04-20 14:23:18+00:00,2018-04-26 17:30:51+00:00,6.130243055555556
declaration 100079,2018-04-20 14:33:39+00:00,2018-04-30 17:31:10+00:00,10.123275462962964
declaration 100085,2018-04-20 14:51:43+00:00,2018-04-26 17:30:51+00:00,6.110509259259259
declaration 100090,2018-04-20 17:10:48+00:00,2018-04-26 17:30:51+00:00,6.013923611111111
declaration 100095,2018-04-21 10:38:46+00:00,2018-04-26 17:30:51+00:00,5.286168981481482
declaration 100100,2018-04-21 18:55:07+00:00,2018-04-26 17:30:51+00:00,4.941481481481482
declaration 100105,2018-04-21 19:40:05+00:00,2018-05-07 17:31:13+00:00,15.910509259259259
declaration 100111,2018-04-22 10:03:13+00:00,2018-05-03 17:31:15+00:00,11.311134259259259
declaration 100116,2018-04-22 10:43:09+00:00,2018-04-26 17:30:51+00:00,4.283125
declaration 100122,2018-04-22 10:46:06+00:00,2018-04-26 17:30:51+00:00,4.281076388888889
declaration 100131,2018-04-22 10:51:51+00:00,2018-04-26 17:30:51+00:00,4.277083333333334
declaration 100137,2018-04-22 11:01:25+00:00,2018-05-03 17:31:15+00:00,11.270717592592593
declaration 100143,2018-04-22 12:21:06+00:00,2018-04-26 17:30:51+00:00,4.215104166666666
declaration 100149,2018-04-22 13:00:19+00:00,2018-04-26 17:30:51+00:00,4.18787037037037
declaration 100154,2018-04-22 15:52:58+00:00,2018-04-30 17:31:10+00:00,8.068194444444444
declaration 100160,2018-04-23 08:23:40+00:00,2018-04-26 17:30:51+00:00,3.379988425925926
declaration 100166,2018-04-23 08:49:42+00:00,2018-05-03 17:31:15+00:00,10.3621875
declaration 100172,2018-04-23 08:51:54+00:00,2018-04-26 17:30:51+00:00,3.3603819444444443
declaration 100177,2018-04-23 08:54:42+00:00,2018-04-26 17:30:51+00:00,3.3584375
declaration 100182,2018-04-23 09:03:10+00:00,2018-04-26 17:30:51+00:00,3.3525578703703705
declaration 100187,2018-04-23 09:11:52+00:00,2018-04-26 17:30:51+00:00,3.3465162037037035
declaration 100192,2018-04-23 09:13:16+00:00,2018-04-26 17:30:51+00:00,3.3455439814814816
declaration 100197,2017-02-15 09:52:59+00:00,2018-01-25 17:31:07+00:00,344.31814814814817
declaration 100207,2018-02-11 16:39:04+00:00,2018-02-15 17:31:17+00:00,4.036261574074074
declaration 100213,2018-02-12 10:10:24+00:00,2018-02-19 17:31:31+00:00,7.306331018518518
declaration 100218,2018-02-12 12:44:51+00:00,2018-02-15 17:31:17+00:00,3.198912037037037
declaration 100223,2018-02-12 14:31:58+00:00,2018-02-26 17:31:27+00:00,14.124641203703703
declaration 100228,2018-02-12 15:13:54+00:00,2018-02-15 17:31:17+00:00,3.0954050925925927
declaration 100233,2018-02-12 15:31:09+00:00,2018-03-08 17:30:58+00:00,24.083206018518517
declaration 100239,2018-02-12 15:49:33+00:00,2018-02-19 17:31:31+00:00,7.070810185185185
declaration 100245,2018-02-12 15:55:09+00:00,2018-03-08 17:30:58+00:00,24.06653935185185
declaration 100258,2018-02-12 16:06:54+00:00,2018-06-28 17:31:33+00:00,136.0587847222222
declaration 100264,2018-02-12 17:50:20+00:00,2018-02-19 17:31:31+00:00,6.986932870370371
declaration 100269,2018-02-13 09:11:06+00:00,2018-02-19 17:31:31+00:00,6.347511574074074
