case_id,outcome
declaration 100000,approved
declaration 100005,approved
declaration 100010,approved
declaration 100015,approved
declaration 100021,approved
declaration 100027,approved
declaration 100032,approved
declaration 100037,approved
declaration 100042,approved
declaration 100048,approved
declaration 100053,approved
declaration 100059,approved
declaration 100064,approved
declaration 100069,approved
declaration 100074,approved
declaration 100079,approved
declaration 100085,approved
declaration 100090,approved
declaration 100095,approved
declaration 100100,approved
declaration 100105,approved
declaration 100111,approved
declaration 100116,approved
declaration 100122,approved
declaration 100131,approved
declaration 100137,approved
declaration 100143,approved
declaration 100149,approved
declaration 100154,approved
declaration 100160,approved
declaration 100166,approved
declaration 100172,approved
declaration 100177,approved
declaration 100182,approved
declaration 100187,approved
declaration 100192,approved
declaration 100197,approved
declaration 100207,approved
declaration 100213,approved
declaration 100218,approved
declaration 100223,approved
declaration 100228,approved
declaration 100233,approved
declaration 100239,approved
declaration 100245,approved
declaration 100258,approved
declaration 100264,approved
declaration 100269,approved
declaration 100274,approved
declaration 100279,approved
declaration 100284,approved
declaration 100289,approved
declaration 100295,approved
declaration 100301,approved
declaration 100306,approved
declaration 100311,approved
declaration 100317,approved
declaration 100323,approved
declaration 100328,approved
declaration 100333,approved
declaration 100338,approved
declaration 100343,approved
declaration 100348,approved
declaration 100354,approved
declaration 100359,approved
declaration 100365,approved
declaration 100374,approved
declaration 100380,approved
declaration 100388,approved
declaration 100394,approved
declaration 100399,approved
declaration 100412,approved
declaration 100417,approved
declaration 100422,approved
declaration 100428,approved
declaration 100433,rejected
declaration 100441,approved
declaration 100447,approved
declaration 100452,approved
declaration 100457,approved
declaration 100463,approved
declaration 100468,approved
declaration 100473,approved
declaration 100479,approved
declaration 100484,approved
declaration 100490,approved
declaration 100496,approved
declaration 100501,approved
declaration 100506,approved
declaration 100512,rejected
declaration 100516,approved
declaration 100521,approved
declaration 100526,approved
declaration 100532,approved
declaration 100538,approved
declaration 100543,rejected
declaration 100547,approved
declaration 100553,approved
declaration 100563,approved
declaration 100569,approved
declaration 100574,approved
declaration 100579,approved
declaration 100584,approved
declaration 100589,approved
declaration 100594,approved
declaration 100599,approved
declaration 100604,approved
declaration 100610,approved
declaration 100616,approved
declaration 100622,approved
declaration 100627,approved
declaration 100632,approved
declaration 100637,approved
declaration 100642,approved
declaration 100647,approved
declaration 100652,approved
declaration 100657,approved
declaration 100662,approved
declaration 100667,approved
declaration 100672,approved
declaration 100677,approved
declaration 100683,approved
declaration 100688,approved
declaration 100693,approved
declaration 100698,approved
declaration 100703,approved
declaration 100708,approved
declaration 100718,approved
declaration 100723,rejected
declaration 100726,approved
declaration 100731,approved
declaration 100737,approved
declaration 100743,approved
declaration 100748,approved
declaration 100753,approved
declaration 100759,approved
declaration 100764,rejected
declaration 100768,approved
declaration 100773,approved
declaration 100778,approved
declaration 100784,approved
declaration 100789,approved
declaration 100794,approved
declaration 100800,approved
declaration 100805,approved
declaration 100811,approved
declaration 100816,approved
declaration 100824,approved
declaration 100829,approved
declaration 100834,approved
declaration 100840,approved
declaration 100845,approved
declaration 100851,approved
declaration 100857,approved
declaration 100863,approved
declaration 100869,approved
