from,to,count,mean,median,p90,max
Declaration FINAL_APPROVED by SUPERVISOR,Payment Handled,7,81.58570105820105,48.36609953703704,147.39758333333342,284.27465277777776
Request Payment,Declaration REJECTED by MISSING,3,18.986153549382717,26.765324074074073,29.304361111111113,29.93912037037037
Declaration REJECTED by MISSING,Declaration SUBMITTED by EMPLOYEE,61,8.559963570127506,0.4157175925925926,20.099363425925926,137.04872685185185
Declaration SAVED by EMPLOYEE,Request Payment,1,17.033344907407407,17.033344907407407,17.033344907407407,17.033344907407407
Declaration FINAL_APPROVED by SUPERVISOR,Declaration REJECTED by MISSING,86,11.029341354435832,3.060185185185185,13.878373842592593,293.36042824074076
Declaration REJECTED by EMPLOYEE,Declaration SUBMITTED by EMPLOYEE,1081,5.17899910490972,0.20221064814814815,11.066655092592592,356.92226851851854
Declaration REJECTED by SUPERVISOR,Declaration REJECTED by EMPLOYEE,286,3.682775794807045,1.0484664351851851,9.902436342592592,55.187916666666666
Declaration FINAL_APPROVED by SUPERVISOR,Request Payment,10038,3.1629119715451655,1.1428356481481483,6.974371527777782,234.6800115740741
Declaration REJECTED by SUPERVISOR,Request Payment,1,6.922326388888889,6.922326388888889,6.922326388888889,6.922326388888889
Declaration APPROVED by BUDGET OWNER,Declaration REJECTED by SUPERVISOR,32,4.189010054976852,3.996984953703704,6.836884259259259,6.84974537037037
Declaration APPROVED by PRE_APPROVER,Declaration REJECTED by SUPERVISOR,11,2.998765782828283,2.093958333333333,6.773344907407408,6.782233796296296
Declaration APPROVED by BUDGET OWNER,Declaration FINAL_APPROVED by SUPERVISOR,2788,2.864106359430629,1.9097511574074075,6.720473379629629,11.852592592592593
Declaration REJECTED by ADMINISTRATION,Declaration SUBMITTED by EMPLOYEE,19,2.2138639132553606,0.9483101851851852,6.247300925925923,9.925
Declaration APPROVED by PRE_APPROVER,Declaration FINAL_APPROVED by SUPERVISOR,674,1.888721064814815,0.8987673611111111,6.154068287037037,7.21244212962963
Declaration REJECTED by BUDGET OWNER,Declaration SUBMITTED by EMPLOYEE,1,6.092314814814815,6.092314814814815,6.092314814814815,6.092314814814815
Declaration REJECTED by ADMINISTRATION,Declaration REJECTED by EMPLOYEE,928,2.043733649125958,0.9221759259259259,5.040957175925926,27.16287037037037
Declaration APPROVED by ADMINISTRATION,Declaration REJECTED by SUPERVISOR,190,2.1916628289473685,0.9186458333333334,4.935568287037037,18.00863425925926
Declaration REJECTED by BUDGET OWNER,Declaration REJECTED by EMPLOYEE,58,2.1350203544061306,1.0234317129629629,4.923521990740741,6.370185185185186
Request Payment,Payment Handled,10037,3.574592942455507,3.240474537037037,4.912648148148148,62.145127314814815
Declaration APPROVED by ADMINISTRATION,Declaration APPROVED by BUDGET OWNER,2820,1.8978477968216443,0.86546875,4.859506944444444,49.92974537037037
Declaration APPROVED by ADMINISTRATION,Declaration FINAL_APPROVED by SUPERVISOR,5133,1.9021226193439689,0.869849537037037,4.7675023148148155,49.92363425925926
Declaration FOR_APPROVAL by PRE_APPROVER,Declaration REJECTED by MISSING,1,4.132476851851852,4.132476851851852,4.132476851851852,4.132476851851852
Declaration REJECTED by PRE_APPROVER,Declaration REJECTED by EMPLOYEE,85,1.4365938180827886,0.9157175925925926,3.6742361111111115,6.132974537037037
Declaration SUBMITTED by EMPLOYEE,Declaration REJECTED by PRE_APPROVER,86,1.9466824127906979,0.0007581018518518518,3.5022974537037035,70.96003472222222
Declaration APPROVED by ADMINISTRATION,Declaration REJECTED by BUDGET OWNER,59,1.2829894460138103,0.4141550925925926,3.3211550925925937,11.162418981481482
Declaration REJECTED by SUPERVISOR,Declaration SUBMITTED by EMPLOYEE,2,1.9146238425925926,1.9146238425925926,2.5838414351851853,2.751145833333333
Declaration SUBMITTED by EMPLOYEE,Declaration REJECTED by ADMINISTRATION,952,5.662438227026922,0.001105324074074074,1.6947928240740633,469.23631944444446
Payment Handled,Declaration REJECTED by EMPLOYEE,1,1.6252777777777778,1.6252777777777778,1.6252777777777778,1.6252777777777778
Declaration FOR_APPROVAL by ADMINISTRATION,Declaration SUBMITTED by EMPLOYEE,1,1.0164814814814815,1.0164814814814815,1.0164814814814815,1.0164814814814815
Declaration FOR_APPROVAL by SUPERVISOR,Declaration REJECTED by MISSING,1,0.793599537037037,0.793599537037037,0.793599537037037,0.793599537037037
Declaration REJECTED by PRE_APPROVER,Declaration SUBMITTED by EMPLOYEE,1,0.06302083333333333,0.06302083333333333,0.06302083333333333,0.06302083333333333
Declaration SUBMITTED by EMPLOYEE,Declaration APPROVED by ADMINISTRATION,8202,1.1557175502587447,0.00042824074074074075,0.016400462962963026,282.58255787037035
Declaration SUBMITTED by EMPLOYEE,Declaration FINAL_APPROVED by SUPERVISOR,1536,0.9483014066719715,0.00032407407407407406,0.015358796296296296,144.1386689814815
Declaration SUBMITTED by EMPLOYEE,Declaration REJECTED by SUPERVISOR,60,0.6481485339506173,0.000462962962962963,0.01340162037037038,22.13684027777778
Declaration SUBMITTED by EMPLOYEE,Declaration APPROVED by PRE_APPROVER,685,1.241504477561503,0.00028935185185185184,0.013275462962962978,119.06748842592593
Declaration SUBMITTED by EMPLOYEE,Declaration FOR_APPROVAL by ADMINISTRATION,1,0.00681712962962963,0.00681712962962963,0.00681712962962963,0.00681712962962963
Declaration SUBMITTED by EMPLOYEE,Declaration FOR_APPROVAL by PRE_APPROVER,1,0.0019675925925925924,0.0019675925925925924,0.0019675925925925924,0.0019675925925925924
