case:concept:name,min,max,duration_days
declaration 1002,2018-03-01 10:55:17+00:00,2018-04-09 17:30:58+00:00,39.27478009259259
declaration 10024,2018-02-20 13:51:27+00:00,2018-04-23 17:31:11+00:00,62.15259259259259
declaration 10026,2018-02-20 13:51:27+00:00,2018-04-23 17:31:11+00:00,62.15259259259259
declaration 10046,2018-02-20 13:53:11+00:00,2018-05-17 17:31:34+00:00,86.15165509259259
declaration 10069,2018-02-21 16:28:17+00:00,2018-03-01 17:31:26+00:00,8.043854166666666
declaration 10079,2018-02-22 12:53:59+00:00,2018-07-19 17:32:03+00:00,147.19310185185185
declaration 10089,2018-02-23 10:01:30+00:00,2018-05-31 17:31:13+00:00,97.31230324074075
declaration 10106,2018-02-23 15:58:15+00:00,2018-09-06 17:31:09+00:00,195.06451388888888
declaration 10128,2018-02-23 22:47:29+00:00,2018-04-12 17:31:11+00:00,47.780347222222225
declaration 10138,2018-02-23 22:48:56+00:00,2018-06-21 17:31:08+00:00,117.77930555555555
declaration 10151,2018-02-19 00:00:00+00:00,2018-03-22 17:31:11+00:00,31.729988425925924
declaration 10168,2018-08-26 00:00:00+00:00,2018-10-04 17:31:16+00:00,39.730046296296294
declaration 10184,2018-09-03 12:54:24+00:00,2018-11-05 17:31:18+00:00,63.19229166666667
declaration 10207,2018-09-05 07:43:00+00:00,2018-10-04 17:31:16+00:00,29.40851851851852
declaration 10217,2018-09-05 08:37:34+00:00,2018-12-06 17:31:34+00:00,92.37083333333334
declaration 10238,2018-09-05 12:58:48+00:00,2018-11-22 17:31:33+00:00,78.18940972222222
declaration 10240,2018-09-05 12:58:48+00:00,2018-11-22 17:31:33+00:00,78.18940972222222
declaration 10265,2018-09-05 13:52:59+00:00,2018-10-18 17:31:17+00:00,43.15159722222222
declaration 10279,2018-08-20 00:00:00+00:00,2018-10-04 17:31:16+00:00,45.730046296296294
declaration 1029,2018-03-01 14:50:22+00:00,2018-05-17 17:31:34+00:00,77.11194444444445
declaration 10295,2018-09-05 16:41:02+00:00,2019-01-10 17:31:08+00:00,127.03479166666666
declaration 10324,2018-09-06 09:53:00+00:00,2018-11-29 17:31:20+00:00,84.31828703703704
declaration 10350,2018-09-06 15:15:28+00:00,2018-12-03 17:31:23+00:00,88.09438657407408
declaration 10374,2018-09-08 22:40:54+00:00,2018-11-26 17:31:22+00:00,78.7850462962963
declaration 10394,2018-09-09 13:48:55+00:00,2018-12-03 17:31:23+00:00,85.15449074074074
declaration 1041,2018-03-02 13:07:26+00:00,2018-06-29 00:00:00+00:00,118.45317129629629
declaration 10428,2018-06-11 14:06:39+00:00,2018-07-19 17:32:03+00:00,38.14263888888889
declaration 10440,2018-06-11 14:13:42+00:00,2018-12-17 17:31:08+00:00,189.13710648148148
declaration 10455,2018-06-13 14:11:08+00:00,2018-07-23 17:31:11+00:00,40.13892361111111
declaration 10472,2018-06-14 07:49:09+00:00,2018-06-28 17:31:35+00:00,14.404467592592592
declaration 10485,2018-06-14 10:38:06+00:00,2018-07-05 17:31:35+00:00,21.287141203703705
declaration 10495,2018-06-14 10:41:16+00:00,2018-10-04 17:31:16+00:00,112.28472222222223
declaration 10522,2018-06-14 15:23:21+00:00,2018-07-12 17:31:20+00:00,28.088877314814816
declaration 10552,2018-06-14 22:24:09+00:00,2018-08-16 17:31:23+00:00,62.79668981481481
declaration 1056,2018-03-03 15:08:54+00:00,2018-08-09 17:31:39+00:00,159.09913194444445
declaration 10578,2018-06-11 00:00:00+00:00,2018-06-21 17:31:08+00:00,10.729953703703703
declaration 10590,2018-06-15 13:40:26+00:00,2018-07-23 17:31:11+00:00,38.160243055555554
declaration 10603,2018-06-16 12:33:47+00:00,2018-10-01 17:31:14+00:00,107.2065625
declaration 10617,2018-06-18 18:09:16+00:00,2018-07-19 17:32:03+00:00,30.974155092592593
declaration 10628,2018-06-18 18:59:08+00:00,2018-09-10 17:31:24+00:00,83.93907407407407
declaration 10638,2018-06-13 00:00:00+00:00,2018-07-05 17:31:35+00:00,22.730266203703703
declaration 10650,2018-06-20 10:10:43+00:00,2018-11-08 17:31:14+00:00,141.30591435185184
declaration 10662,2018-06-20 10:12:32+00:00,2018-07-26 17:31:03+00:00,36.304525462962964
declaration 10674,2018-09-10 19:56:36+00:00,2018-12-03 17:31:23+00:00,83.8991550925926
declaration 10684,2018-09-11 09:59:53+00:00,2018-10-25 17:31:42+00:00,44.31376157407407
declaration 10694,2018-09-11 11:48:47+00:00,2018-10-08 17:31:16+00:00,27.23783564814815
declaration 10706,2018-09-11 11:49:59+00:00,2018-10-08 17:31:16+00:00,27.237002314814816
declaration 10718,2018-09-11 14:23:24+00:00,2018-11-15 17:31:19+00:00,65.13049768518519
declaration 10720,2018-09-11 14:23:24+00:00,2018-11-04 16:21:53+00:00,54.08228009259259
declaration 10721,2018-09-11 14:23:24+00:00,2018-10-11 17:31:07+00:00,30.130358796296296
declaration 10743,2018-09-12 08:50:08+00:00,2018-11-05 17:31:18+00:00,54.361921296296295
declaration 10758,2018-09-12 10:08:57+00:00,2018-11-05 17:31:18+00:00,54.3071875
declaration 10768,2018-09-12 10:10:35+00:00,2018-10-04 17:31:16+00:00,22.306030092592593
declaration 10780,2018-09-12 11:05:57+00:00,2018-11-29 17:31:20+00:00,78.26762731481482
declaration 1079,2018-03-03 18:31:37+00:00,2018-04-09 17:30:58+00:00,36.957881944444445
declaration 10797,2018-09-13 16:11:31+00:00,2018-12-13 17:31:08+00:00,91.05528935185185
declaration 1081,2018-03-03 18:31:37+00:00,2018-04-16 17:31:10+00:00,43.958020833333336
declaration 10816,2018-09-14 10:11:17+00:00,2018-10-11 17:31:07+00:00,27.305439814814815
declaration 10818,2018-09-14 10:11:17+00:00,2018-09-29 09:01:54+00:00,14.95181712962963
declaration 10837,2018-09-16 19:31:19+00:00,2018-11-05 17:31:18+00:00,49.91665509259259
declaration 10849,2018-09-17 16:13:59+00:00,2018-11-29 17:31:20+00:00,73.05371527777778
declaration 10862,2018-09-17 16:23:38+00:00,2018-10-08 17:31:16+00:00,21.046967592592594
