case_id,outcome
declaration 1002,approved
declaration 10024,approved
declaration 10026,approved
declaration 10046,approved
declaration 10069,approved
declaration 10079,approved
declaration 10089,approved
declaration 10106,approved
declaration 10128,approved
declaration 10138,approved
declaration 10151,approved
declaration 10168,approved
declaration 10184,approved
declaration 10207,approved
declaration 10217,approved
declaration 10238,approved
declaration 10240,approved
declaration 10265,approved
declaration 10279,approved
declaration 1029,approved
declaration 10295,approved
declaration 10324,approved
declaration 10350,approved
declaration 10374,approved
declaration 10394,approved
declaration 1041,approved
declaration 10428,approved
declaration 10440,approved
declaration 10455,approved
declaration 10472,approved
declaration 10485,approved
declaration 10495,approved
declaration 10522,approved
declaration 10552,approved
declaration 1056,approved
declaration 10578,approved
declaration 10590,approved
declaration 10603,approved
declaration 10617,approved
declaration 10628,approved
declaration 10638,approved
declaration 10650,approved
declaration 10662,approved
declaration 10674,approved
declaration 10684,approved
declaration 10694,approved
declaration 10706,approved
declaration 10718,approved
declaration 10720,rejected
declaration 10721,approved
declaration 10743,approved
declaration 10758,approved
declaration 10768,approved
declaration 10780,approved
declaration 1079,approved
declaration 10797,approved
declaration 1081,approved
declaration 10816,approved
declaration 10818,rejected
declaration 10837,approved
declaration 10849,approved
declaration 10862,approved
declaration 10874,approved
declaration 10886,approved
declaration 10901,approved
declaration 10912,approved
declaration 10929,approved
declaration 10939,approved
declaration 10961,approved
declaration 10986,approved
declaration 11000,approved
declaration 1101,approved
declaration 11012,approved
declaration 11025,approved
declaration 11045,approved
declaration 11062,approved
declaration 11078,approved
declaration 11080,approved
declaration 11098,approved
declaration 11114,approved
declaration 11149,approved
declaration 1116,approved
declaration 11167,approved
declaration 11177,approved
declaration 11191,approved
declaration 11223,approved
declaration 11239,approved
declaration 11250,approved
declaration 1126,approved
declaration 11264,approved
declaration 11282,approved
declaration 11293,approved
declaration 11310,approved
declaration 11325,approved
declaration 11335,approved
declaration 11348,open
declaration 11349,approved
declaration 11363,approved
declaration 1137,approved
declaration 11423,approved
declaration 11436,approved
declaration 11453,approved
declaration 11464,approved
declaration 11477,approved
declaration 11492,approved
declaration 11524,approved
declaration 11537,approved
declaration 11548,approved
declaration 11558,approved
declaration 1157,approved
declaration 11578,approved
declaration 11595,rejected
declaration 11596,approved
declaration 11618,approved
declaration 11642,approved
declaration 11658,approved
declaration 11672,approved
declaration 11684,approved
declaration 11695,approved
declaration 1170,approved
declaration 11706,approved
declaration 11717,approved
declaration 11765,approved
declaration 11778,approved
declaration 11788,approved
declaration 11798,approved
declaration 11818,approved
declaration 11828,approved
declaration 11830,rejected
declaration 11831,rejected
declaration 11851,approved
declaration 1186,approved
declaration 11871,approved
declaration 11882,approved
declaration 11898,approved
declaration 11921,approved
declaration 11938,approved
declaration 11949,approved
declaration 11960,approved
declaration 1197,approved
declaration 11980,approved
declaration 11990,approved
declaration 12007,approved
declaration 12021,approved
declaration 12038,approved
declaration 12049,open
declaration 12063,approved
declaration 12075,approved
declaration 12087,approved
declaration 12098,approved
declaration 12110,approved
declaration 12126,approved
declaration 1214,approved
declaration 12142,approved
declaration 12158,approved
declaration 12172,approved
declaration 12182,approved
declaration 12194,approved
declaration 12226,approved
declaration 12259,approved
declaration 12289,approved
declaration 1231,approved
declaration 12310,approved
declaration 12327,approved
declaration 12346,approved
declaration 12362,approved
declaration 12379,approved
declaration 12396,approved
declaration 12407,approved
declaration 1241,approved
declaration 12419,approved
declaration 12439,approved
declaration 12463,approved
declaration 12479,approved
declaration 12499,approved
declaration 12513,approved
declaration 12515,approved
declaration 1254,approved
declaration 1265,approved
declaration 12674,approved
declaration 12689,approved
declaration 12737,rejected
declaration 12738,approved
declaration 12740,approved
declaration 1276,approved
declaration 12777,approved
declaration 12793,approved
declaration 12804,approved
declaration 12814,approved
declaration 12830,approved
