case_id,issue
declaration 10720,Declaration submitted without final approval
declaration 10818,Declaration submitted without final approval
declaration 11595,Declaration submitted without final approval
declaration 11830,Declaration submitted without final approval
declaration 11831,Declaration submitted without final approval
declaration 12737,Declaration submitted without final approval
declaration 13216,Declaration submitted without final approval
declaration 13232,Declaration submitted without final approval
declaration 1330,Declaration submitted without final approval
declaration 13403,Declaration submitted without final approval
declaration 1347,Declaration submitted without final approval
declaration 14197,Declaration submitted without final approval
declaration 143467,Trip without permit final approval
declaration 143474,Trip without permit final approval
declaration 143481,Trip without permit final approval
declaration 143488,Trip without permit final approval
declaration 143496,Trip without permit final approval
declaration 143502,Trip without permit final approval
declaration 143513,Trip without permit final approval
declaration 143519,Trip without permit final approval
declaration 143526,Trip without permit final approval
declaration 143532,Trip without permit final approval
declaration 143539,Trip without permit final approval
declaration 143546,Trip without permit final approval
declaration 143558,Trip without permit final approval
declaration 143570,Trip without permit final approval
declaration 143578,Trip without permit final approval
declaration 143585,Trip without permit final approval
declaration 143598,Trip without permit final approval
declaration 143605,Trip without permit final approval
declaration 143612,Trip without permit final approval
declaration 143617,Trip without permit final approval
declaration 143624,Trip without permit final approval
declaration 143630,Trip without permit final approval
declaration 143637,Trip without permit final approval
declaration 143644,Trip without permit final approval
declaration 143657,Trip without permit final approval
declaration 143664,Trip without permit final approval
declaration 143670,Trip without permit final approval
declaration 143697,Trip without permit final approval
declaration 143708,Trip without permit final approval
declaration 143721,Trip without permit final approval
declaration 143729,Trip without permit final approval
declaration 143738,Trip without permit final approval
declaration 143750,Trip without permit final approval
declaration 143763,Trip without permit final approval
declaration 143784,Trip without permit final approval
declaration 143790,Trip without permit final approval
declaration 143795,Trip without permit final approval
declaration 143803,Trip without permit final approval
declaration 143816,Trip without permit final approval
declaration 143840,Trip without permit final approval
declaration 143861,Trip without permit final approval
declaration 143870,Trip without permit final approval
declaration 143878,Trip without permit final approval
declaration 143885,Trip without permit final approval
declaration 143898,Trip without permit final approval
declaration 143906,Trip without permit final approval
declaration 143917,Trip without permit final approval
declaration 143924,Trip without permit final approval
declaration 143934,Trip without permit final approval
declaration 143943,Trip without permit final approval
declaration 143953,Trip without permit final approval
declaration 143961,Trip without permit final approval
declaration 143973,Trip without permit final approval
declaration 143995,Trip without permit final approval
declaration 144012,Trip without permit final approval
declaration 144023,Trip without permit final approval
declaration 144035,Trip without permit final approval
declaration 144046,Trip without permit final approval
declaration 144050,Trip without permit final approval
declaration 144057,Trip without permit final approval
declaration 144065,Trip without permit final approval
declaration 144079,Trip without permit final approval
declaration 144086,Trip without permit final approval
declaration 144095,Trip without permit final approval
declaration 144101,Trip without permit final approval
declaration 144107,Trip without permit final approval
declaration 144113,Trip without permit final approval
declaration 144129,Trip without permit final approval
declaration 144138,Trip without permit final approval
declaration 144147,Trip without permit final approval
declaration 144158,Trip without permit final approval
declaration 144166,Trip without permit final approval
declaration 144174,Trip without permit final approval
declaration 144200,Trip without permit final approval
declaration 144209,Trip without permit final approval
declaration 144216,Trip without permit final approval
declaration 144222,Trip without permit final approval
declaration 144229,Trip without permit final approval
declaration 144237,Trip without permit final approval
declaration 144244,Trip without permit final approval
declaration 144252,Trip without permit final approval
declaration 144263,Trip without permit final approval
declaration 144269,Trip without permit final approval
declaration 144280,Trip without permit final approval
declaration 144288,Trip without permit final approval
declaration 144294,Trip without permit final approval
declaration 144304,Trip without permit final approval
declaration 144311,Trip without permit final approval
declaration 144318,Trip without permit final approval
declaration 144326,Trip without permit final approval
declaration 144335,Trip without permit final approval
declaration 144342,Trip without permit final approval
declaration 144350,Trip without permit final approval
declaration 144356,Trip without permit final approval
declaration 144364,Trip without permit final approval
declaration 144371,Trip without permit final approval
declaration 144386,Trip without permit final approval
declaration 144392,Trip without permit final approval
declaration 144398,Trip without permit final approval
declaration 144406,Trip without permit final approval
declaration 144415,Trip without permit final approval
declaration 144423,Trip without permit final approval
declaration 144431,Trip without permit final approval
declaration 144437,Trip without permit final approval
declaration 144447,Trip without permit final approval
declaration 144454,Trip without permit final approval
declaration 144461,Trip without permit final approval
declaration 144468,Trip without permit final approval
declaration 144476,Trip without permit final approval
declaration 144485,Trip without permit final approval
declaration 144492,Trip without permit final approval
declaration 144501,Trip without permit final approval
declaration 144507,Trip without permit final approval
declaration 144516,Trip without permit final approval
declaration 144523,Trip without permit final approval
