case_id,activity,repeat_count,rework_type,is_loop_rework
declaration 10089,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 10168,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 10240,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 10265,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 10279,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 10279,Declaration APPROVED by ADMINISTRATION,2,minor,True
declaration 10324,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 10455,Permit SUBMITTED by EMPLOYEE,2,minor,True
declaration 10455,Permit APPROVED by ADMINISTRATION,2,minor,True
declaration 10455,Permit APPROVED by BUDGET OWNER,2,minor,True
declaration 10495,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 10522,Declaration SUBMITTED by EMPLOYEE,3,major,True
declaration 10522,Declaration REJECTED by ADMINISTRATION,2,minor,True
declaration 10522,Declaration REJECTED by EMPLOYEE,2,minor,True
declaration 10552,Permit SUBMITTED by EMPLOYEE,2,minor,True
declaration 10552,Permit APPROVED by ADMINISTRATION,2,minor,True
declaration 10552,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 1056,Declaration SUBMITTED by EMPLOYEE,3,major,True
declaration 1056,Declaration REJECTED by ADMINISTRATION,2,minor,True
declaration 1056,Declaration REJECTED by EMPLOYEE,2,minor,True
declaration 10603,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 10718,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 10721,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 10797,Declaration SUBMITTED by EMPLOYEE,4,major,True
declaration 10797,Declaration REJECTED by ADMINISTRATION,3,major,True
declaration 10797,Declaration REJECTED by EMPLOYEE,3,major,True
declaration 10886,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 10939,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 10939,Declaration APPROVED by ADMINISTRATION,2,minor,True
declaration 10961,Declaration SUBMITTED by EMPLOYEE,5,major,True
declaration 10961,Declaration REJECTED by ADMINISTRATION,3,major,True
declaration 10961,Declaration REJECTED by EMPLOYEE,4,major,True
declaration 10961,Declaration APPROVED by ADMINISTRATION,2,minor,True
declaration 10986,Permit SUBMITTED by EMPLOYEE,2,minor,True
declaration 11025,Declaration SUBMITTED by EMPLOYEE,3,major,True
declaration 11025,Declaration REJECTED by ADMINISTRATION,2,minor,True
declaration 11025,Declaration REJECTED by EMPLOYEE,2,minor,True
declaration 11098,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 11114,Declaration SUBMITTED by EMPLOYEE,3,major,True
declaration 11114,Declaration REJECTED by ADMINISTRATION,2,minor,True
declaration 11114,Declaration REJECTED by EMPLOYEE,2,minor,True
declaration 11149,Permit SUBMITTED by EMPLOYEE,2,minor,True
declaration 11149,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 1126,Send Reminder,2,minor,False
declaration 11335,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 11349,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 1137,Declaration SUBMITTED by EMPLOYEE,3,major,True
declaration 1137,Declaration REJECTED by ADMINISTRATION,2,minor,True
declaration 1137,Declaration REJECTED by EMPLOYEE,2,minor,True
declaration 11423,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 11436,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 11524,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 11558,Declaration SUBMITTED by EMPLOYEE,3,major,True
declaration 11558,Declaration REJECTED by ADMINISTRATION,2,minor,True
declaration 11558,Declaration REJECTED by EMPLOYEE,2,minor,True
declaration 11596,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 11618,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 1170,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 1170,Declaration APPROVED by ADMINISTRATION,2,minor,True
declaration 11798,Permit SUBMITTED by EMPLOYEE,2,minor,True
declaration 11798,Permit APPROVED by ADMINISTRATION,2,minor,True
declaration 11851,Declaration SUBMITTED by EMPLOYEE,2,minor,True
declaration 11960,Permit SUBMITTED by EMPLOYEE,2,minor,True
